"att1";"att2";"att3";"att4";"att5";"att6";"att7";"att8";"att9";"att10";"att11";"att12";"att13";"att14";"att15";"att16";"att17";"att18";"att19";"att20";"att21";"att22";"att23";"att24";"label"
-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-0.16666500000000006;0.5998892426969404;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.5;0.9562508652914306;"0"
-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.8333349999999999;-0.33333499999999994;0.6361622594489826;"1"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.33333499999999994;0.8333349999999999;0.0740689464211548;"0"
-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.33333499999999994;0.8333349999999999;0.6992939221929948;"0"
-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.33333499999999994;-0.33333499999999994;0.32188841201716767;"0"
1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-0.666665;0.0;0.5353731136646824;"1"
1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-0.5;0.6666650000000001;0.6572061470303201;"2"
-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;0.8333349999999999;0.8333349999999999;0.6890488716599752;"2"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;0.16666500000000006;-0.47307213069361753;"0"
-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.6666650000000001;0.33333499999999994;-0.326041810881905;"1"
1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.33333499999999994;1.0;0.7399972310674237;"4"
1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0;-0.833335;0.47473349023951283;"0"
1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;1.0;0.8737366745119755;"4"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.16666500000000006;0.6491762425584937;"0"
-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;1.0;0.5871521528450785;"1"
-1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.5;0.19562508652914312;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.8333349999999999;0.6666650000000001;0.7615949051640594;"0"
1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.016128709677418973;0.08514500000000025;-0.6868337255987818;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-0.833335;-0.833335;0.1275093451474456;"2"
-1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-0.16666500000000006;0.5;0.3185656929253773;"2"
-1.0;1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;0.0;0.5;0.8798283261802573;"3"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.666665;-0.959019797867922;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.8333349999999999;-0.33333499999999994;-0.42544649037795923;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;-0.666665;-0.7040011075730306;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.5;-0.016475148830125796;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.16666500000000006;0.16666500000000006;-0.5182057316904334;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.5;-0.5;1.0;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.016128709677418973;0.08514500000000025;0.28798268047887277;"0"
-1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.6666650000000001;0.6666650000000001;-0.4448290184134016;"1"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.5;-0.666665;0.7375051917485809;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.33333499999999994;-0.666665;-0.850754534127094;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-0.666665;0.5;0.0635470026304863;"4"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.33333499999999994;0.5;-0.4071715353731137;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;-0.33333499999999994;0.09095943513775451;"0"
1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0;-0.16666500000000006;0.6962480963588538;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.8333349999999999;1.0;0.8327564723798977;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.5;-0.25488024366606676;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.833335;-0.5;0.28798268047887277;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.6666650000000001;-0.666665;0.2161151875951821;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.6666650000000001;0.5;0.45147445659698193;"0"
1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.666665;0.3279800636854495;"0"
1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;0.16666500000000006;0.726706354700263;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;0.8333349999999999;-0.07185380035996125;"0"
1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.16666500000000006;0.16666500000000006;0.7679634500899906;"1"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.33333499999999994;-0.16666500000000006;0.3996954174165863;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0;-0.5;0.4946698047902536;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;0.0;-0.23605150214592274;"0"
1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;0.0;1.0;0.7062162536342242;"2"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.833335;-0.833335;-0.5134985463103973;"0"
-1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.33333499999999994;0.33333499999999994;0.28798268047887277;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.16666500000000006;-1.0;0.6117956527758552;"0"
-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;0.8333349999999999;1.0;0.7460888827357055;"2"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.6666650000000001;-0.33333499999999994;-0.09788176657898373;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.8333349999999999;0.8333349999999999;0.8701370621625364;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.33333499999999994;-0.33333499999999994;0.8634916239789567;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.5;0.46642669251003754;"0"
-1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.33333499999999994;-0.29669112557109223;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.08514500000000025;0.8645991970095532;"0"
1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.33333499999999994;-0.33333499999999994;0.5697078776131805;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;0.5;0.4268309566662052;"0"
-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;1.0;0.6026581752734324;"1"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0;1.0;0.8812127924685036;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.33333499999999994;0.13553924961927177;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;0.8333349999999999;-0.006783884812404772;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;1.0;-0.15132216530527476;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.833335;-0.16666500000000006;-0.22608334487055237;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;-0.5;0.6295168212654025;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-0.666665;0.16666500000000006;0.1740274124325074;"1"
-1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-0.666665;-0.1349854631039732;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.8333349999999999;1.0;0.17818081129724517;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;-0.666665;-1.0;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.5;1.0;0.9545895057455354;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;0.33333499999999994;0.39388065900595337;"0"
-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;0.0;0.6666650000000001;0.4409525128063134;"2"
1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-0.33333499999999994;-0.5;-0.5921362314827634;"2"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;-0.666665;0.7405510175827219;"0"
1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.16666500000000006;1.0;0.862937837463658;"4"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-0.5;0.24740412570953918;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.16666500000000006;1.0;-0.6405925515713693;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;0.0;0.5107296137339057;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;-0.833335;0.23217499653883422;"0"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-0.5;-0.16666500000000006;0.7563339332687251;"2"
1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-0.16666500000000006;-0.5;0.608196040426416;"2"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.6666650000000001;1.0;-0.007060778070054119;"1"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.8333349999999999;-0.666665;0.28798268047887277;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0;-0.666665;0.9562508652914306;"0"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;0.8333349999999999;0.7322442198532466;"1"
-1.0;-1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.16666500000000006;1.0;-0.2346670358576768;"0"
1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-0.5;0.0;0.16045964280769787;"2"
1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;0.6666650000000001;0.3271493839125019;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0;1.0;0.8861968711061889;"0"
-1.0;-1.0;1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.666665;-1.0;0.7469195625086531;"0"
1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5;-0.5;-0.3160736536065347;"0"
1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.6666650000000001;1.0;0.9327149383912507;"1"
